Organization short name,Geocode,Geolocated Country,Coordinates,Latitude,Longitude,Availability zones,Number of facilities,Year of commissioning,Investment,Renewable,Renewable strategy
Digital Realty,GBR,United Kingdom,"(51.5072178, -0.1275862)",51.5072178,-0.1275862,,14,,,,
Digital Realty,ESP,Spain,"(40.4167754, -3.7037902)",40.4167754,-3.7037902,,4,,,,
Digital Realty,FRA,France,"(43.296482, 5.36978)",43.296482,5.36978,,4,,,,
Digital Realty,KEN,Kenya,"(-4.0434771, 39.6682065)",-4.0434771,39.6682065,,2,,,,
Digital Realty,KEN,Kenya,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,,2,,,,
Digital Realty,FRA,France,"(48.856614, 2.3522219)",48.856614,2.3522219,,13,,,,
Digital Realty,SWE,Sweden,"(59.32932349999999, 18.0685808)",59.32932349999999,18.0685808,,6,,,,
Digital Realty,AUT,Austria,"(48.2081664, 16.3718643)",48.2081664,16.3718643,,2,,,,
Digital Realty,HRV,Croatia,"(45.8150108, 15.981919)",45.8150108,15.981919,,1,,,,
Digital Realty,CHE,Switzerland,"(47.3768866, 8.541694)",47.3768866,8.541694,,3,,,,
Digital Realty,ZAF,South Africa,"(-29.85868039999999, 31.0218404)",-29.85868039999999,31.0218404,,1,,,,
Digital Realty,ZAF,South Africa,"(-33.8872573, 18.5384888)",-33.8872573,18.5384888,,2,,,,
Digital Realty,ZAF,South Africa,"(-26.2041028, 28.0473051)",-26.2041028,28.0473051,,3,,,,
Digital Realty,MOZ,Mozambique,"(-25.969248, 32.5731746)",-25.969248,32.5731746,,1,,,,
Digital Realty,GHA,Ghana,"(5.559284600000001, -0.1974306)",5.559284600000001,-0.1974306,,1,,,,
Equinix,FRA,France,"(48.9013819, 2.4176467)",48.9013819,2.4176467,,1,,,100%,"100% from Green product through supplier (bundled wind, hydro, and solar GOs)"
Equinix,ESP,Spain,"(37.3964955, -5.9481451)",37.3964955,-5.9481451,,1,,,100%,100% from Green product through supplier (bundled GoOs from hydro/solar/ biomass/wind)
Equinix,BGR,Bulgaria,"(42.6550853, 23.3972732)",42.6550853,23.3972732,,1,,,100%,100% from Green product through supplier (bundled GoOs)
Equinix,BGR,Bulgaria,"(42.6753033, 23.4010806)",42.6753033,23.4010806,,1,,,100%,100% from 100% from Green product through supplier (bundled GoOs)
Equinix,SWE,Sweden,"(59.36246269999999, 17.9566192)",59.36246269999999,17.9566192,,1,,,100%,100% from Green product through supplier (local hydro)
Equinix,SWE,Sweden,"(59.26367080000001, 18.1053629)",59.26367080000001,18.1053629,,1,,,100%,100% from Green product through supplier (local hydro)
Equinix,SWE,Sweden,"(59.3909352, 17.8752196)",59.3909352,17.8752196,,1,,,100%,100% from Green product through supplier (local hydro)
Equinix,POL,Poland,"(52.2276575, 21.0042443)",52.2276575,21.0042443,,1,,,100%,100% from GoOs from Poland wind/solar
Equinix,POL,Poland,"(52.1540294, 21.0043255)",52.1540294,21.0043255,,1,,,100%,100% from 100% from Unbundled GoOs from Poland wind
Equinix,POL,Poland,"(52.201551, 20.9367532)",52.201551,20.9367532,,1,,,100%,100% from Green product through supplier (bundled GoOs from wind)
Equinix,CHE,Switzerland,"(47.3877404, 8.5201949)",47.3877404,8.5201949,,1,,,100%,100% from Green product through supplier (local hydro)
Equinix,CHE,Switzerland,"(47.3877404, 8.5201949)",47.3877404,8.5201949,,1,,,100%,100% from Green product through supplier (local hydro)
Equinix,CHE,Switzerland,"(47.4053481, 8.462757)",47.4053481,8.462757,,1,,,100%,100% from Green product through supplier (local hydro)
Equinix,NLD,Netherlands,"(52.4883938, 6.142599499999999)",52.4883938,6.142599499999999,,1,,,100%,100% from Green product through supplier (bundled GoOs from wind)
Equinix,"USA, GA",United States,"(33.7585633, -84.3877746)",33.7585633,-84.3877746,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, GA",United States,"(33.7554648, -84.3914602)",33.7554648,-84.3914602,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, GA",United States,"(33.7554648, -84.3914602)",33.7554648,-84.3914602,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, GA",United States,"(33.8954451, -84.4536112)",33.8954451,-84.4536112,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, GA",United States,"(33.938982, -84.227186)",33.938982,-84.227186,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, MA",United States,"(42.5505548, -71.2152146)",42.5505548,-71.2152146,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, IL",United States,"(41.8531135, -87.6183281)",41.8531135,-87.6183281,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, IL",United States,"(41.8531135, -87.6183281)",41.8531135,-87.6183281,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, IL",United States,"(42.0010976, -87.9548634)",42.0010976,-87.9548634,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, IL",United States,"(41.8531135, -87.6183281)",41.8531135,-87.6183281,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, IL",United States,"(41.8125982, -87.9728341)",41.8125982,-87.9728341,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(38.4551336, -77.9780767)",38.4551336,-77.9780767,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(38.4551336, -77.9780767)",38.4551336,-77.9780767,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(38.4551336, -77.9780767)",38.4551336,-77.9780767,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(38.4551336, -77.9780767)",38.4551336,-77.9780767,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, TX",United States,"(32.8007033, -96.8191899)",32.8007033,-96.8191899,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, TX",United States,"(32.800748, -96.819412)",32.800748,-96.819412,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, TX",United States,"(32.800748, -96.819412)",32.800748,-96.819412,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, TX",United States,"(32.7872315, -96.794157)",32.7872315,-96.794157,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, TX",United States,"(32.800748, -96.819412)",32.800748,-96.819412,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, TX",United States,"(33.0649358, -96.81065029999999)",33.0649358,-96.81065029999999,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, TX",United States,"(32.8303165, -96.9126896)",32.8303165,-96.9126896,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, TX",United States,"(32.800748, -96.819412)",32.800748,-96.819412,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.0155544, -77.4603448)",39.0155544,-77.4603448,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.016494, -77.4592617)",39.016494,-77.4592617,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.0221038, -77.460696)",39.0221038,-77.460696,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.0164848, -77.4619615)",39.0164848,-77.4619615,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.015216, -77.457658)",39.015216,-77.457658,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.0152031, -77.4594652)",39.0152031,-77.4594652,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(38.9093627, -77.22044369999999)",38.9093627,-77.22044369999999,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.020867, -77.4513023)",39.020867,-77.4513023,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.0152031, -77.4594652)",39.0152031,-77.4594652,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.02218380000001, -77.45058139999999)",39.02218380000001,-77.45058139999999,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.0124932, -77.4753692)",39.0124932,-77.4753692,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(38.8035236, -77.5105238)",38.8035236,-77.5105238,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(39.0225032, -77.45022809999999)",39.0225032,-77.45022809999999,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, VA",United States,"(38.9615942, -77.3774327)",38.9615942,-77.3774327,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, CO",United States,"(39.5873917, -104.8763163)",39.5873917,-104.8763163,,1,,,100%,100% from Xcel Energy Renewable*Connect Colorado (in-state solar)
Equinix,"USA, CO",United States,"(39.5602805, -104.8576841)",39.5602805,-104.8576841,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, TX",United States,"(29.9358021, -95.3643633)",29.9358021,-95.3643633,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, CA",United States,"(34.0475197, -118.2572167)",34.0475197,-118.2572167,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, CA",United States,"(34.0488973, -118.2595846)",34.0488973,-118.2595846,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, CA",United States,"(33.926306, -118.3940759)",33.926306,-118.3940759,,1,,,100%,100% from RECs from wind VPPAs and Green-e wind RECs
Equinix,"USA, CA",United States,"(33.9216329, -118.3840239)",33.9216329,-118.3840239,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, CA",United States,"(33.8508719, -118.3040072)",33.8508719,-118.3040072,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, FL",United States,"(25.7823647, -80.1931295)",25.7823647,-80.1931295,,1,,,100%,100% from RECs from U.S. wind VPPAs and Green-e wind RECs
Equinix,"USA, FL",United States,"(25.7758686, -80.1931295)",25.7758686,-80.1931295,,1,,,100%,100% from RECs from wind VPPAs and Green-e wind RECs
Equinix,IRL,Ireland,"(53.3190518, -6.4408559)",53.3190518,-6.4408559,,1,,,100%,100% from Green product through supplier (bundled GoOs from wind)
Equinix,IRL,Ireland,"(53.4107498, -6.3520675)",53.4107498,-6.3520675,,1,,,100%,100% from Green product through supplier (bundled GoOs from wind)
Equinix,IRL,Ireland,"(53.41117610000001, -6.3566581)",53.41117610000001,-6.3566581,,1,,,100%,100% from Green product through supplier (bundled GoOs from wind)
Equinix,DEU,Germany,"(51.21963179999999, 6.807150399999999)",51.21963179999999,6.807150399999999,,1,,,100%,100% from Green product through supplier (bundled GoOs from GreenBase program)
Equinix,NLD,Netherlands,"(52.23700119999999, 6.849657499999999)",52.23700119999999,6.849657499999999,,1,,,100%,100% from Green product through supplier (bundled GoOs from wind)
Equinix,DEU,Germany,"(50.1418804, 8.7417759)",50.1418804,8.7417759,,1,,,100%,100% from Green product through supplier (bundled GoOs from GreenBase program)
Equinix,DEU,Germany,"(50.0978335, 8.5871439)",50.0978335,8.5871439,,1,,,100%,100% from Green product through supplier (bundled GoOs from GreenBase program)
Equinix,DEU,Germany,"(50.0988483, 8.631954499999999)",50.0988483,8.631954499999999,,1,,,100%,100% from Green product through supplier (bundled GoOs from GreenBase program)
Equinix,DEU,Germany,"(50.0978335, 8.5871439)",50.0978335,8.5871439,,1,,,100%,100% from Green product through supplier (bundled GoOs from GreenBase program)
Equinix,DEU,Germany,"(50.0971357, 8.6440413)",50.0971357,8.6440413,,1,,,100%,100% from Green product through supplier (bundled GoOs from GreenBase program)
Equinix,DEU,Germany,"(53.6445008, 9.975041299999999)",53.6445008,9.975041299999999,,1,,,100%,100% from Green product through supplier (bundled GoOs from GreenBase program)
Equinix,CHE,Switzerland,"(46.20360660000001, 6.144250899999999)",46.20360660000001,6.144250899999999,,1,,,100%,100% from Green product through supplier (local hydro)
Equinix,CHE,Switzerland,"(46.2079503, 6.098114)",46.2079503,6.098114,,1,,,100%,100% from Green product through supplier (local hydro)
Equinix,FIN,Finland,"(60.18532589999999, 24.9699197)",60.18532589999999,24.9699197,,1,,,100%,100% from Green product through supplier (bundled GoOs)
Equinix,FIN,Finland,"(60.284477, 24.838742)",60.284477,24.838742,,1,,,100%,100% from Green product through supplier (bundled GoOs)
Equinix,FIN,Finland,"(60.2214342, 24.9855512)",60.2214342,24.9855512,,1,,,100%,100% from Green product through supplier (bundled GoOs)
Equinix,FIN,Finland,"(60.2031604, 24.7784519)",60.2031604,24.7784519,,1,,,100%,100% from Green product through supplier (bundled GoOs)
Equinix,FIN,Finland,"(60.20411110000001, 24.7753689)",60.20411110000001,24.7753689,,1,,,100%,100% from Green product through supplier (bundled GoOs)
Equinix,TUR,Turkey,"(41.0086605, 29.1566677)",41.0086605,29.1566677,,1,,,100%,100% from I-RECs from Turkey small hydro/wind/solar
Equinix,PRT,Portugal,"(38.7878616, -9.123393)",38.7878616,-9.123393,,1,,,100%,100% from Green product through supplier (bundled GoOs)
Equinix,GBR,United Kingdom,"(51.528778, -0.2727404)",51.528778,-0.2727404,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
Equinix,GBR,United Kingdom,"(51.5233111, -0.6357567)",51.5233111,-0.6357567,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
Equinix,GBR,United Kingdom,"(51.5224355, -0.6290175)",51.5224355,-0.6290175,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
Equinix,GBR,United Kingdom,"(51.52456979999999, -0.6349477)",51.52456979999999,-0.6349477,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
Equinix,GBR,United Kingdom,"(51.5257496, -0.6357767999999999)",51.5257496,-0.6357767999999999,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
Equinix,GBR,United Kingdom,"(51.49816569999999, -0.0152639)",51.49816569999999,-0.0152639,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
Equinix,GBR,United Kingdom,"(51.5318382, -0.2573596)",51.5318382,-0.2573596,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
Equinix,GBR,United Kingdom,"(51.5222073, -0.6236247)",51.5222073,-0.6236247,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
Equinix,GBR,United Kingdom,"(51.5222073, -0.6236247)",51.5222073,-0.6236247,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
Equinix,ESP,Spain,"(40.5134971, -3.6718906)",40.5134971,-3.6718906,,1,,,100%,100% from Green product through supplier (bundled GoOs from hydro/solar/ biomass/wind)
Equinix,ESP,Spain,"(40.536787, -3.6485417)",40.536787,-3.6485417,,1,,,100%,100% from Green product through supplier (bundled GoOs from hydro/solar/ biomass/wind)
Equinix,GBR,United Kingdom,"(53.4641019, -2.2364185)",53.4641019,-2.2364185,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
Equinix,GBR,United Kingdom,"(53.4643489, -2.2476141)",53.4643489,-2.2476141,,1,,,100%,100% from Green product through supplier (GoOs and REGOs)
